,sample_ID,sample_total_read_count,names,lakesite,limnion,replicate,fraction,date,month,year,nuc_acid_type,project,season,names_nofracrep,avg_read_length
1,91614,160924760,MDPE1F714,MDP,Top,1,Free,2014-07-22,July,2014,DNA,Muskegon_Lake,Summer,MDPE714,119
2,91615,163403860,MDPE1P714,MDP,Top,1,Particle,2014-07-22,July,2014,DNA,Muskegon_Lake,Summer,MDPE714,117
3,91616,108567430,MOTE2F714,MOT,Top,2,Free,2014-07-22,July,2014,DNA,Muskegon_Lake,Summer,MOTE714,119
4,91617,91547508,MOTE2P714,MOT,Top,2,Particle,2014-07-22,July,2014,DNA,Muskegon_Lake,Summer,MOTE714,117
5,91618,132055718,MDPE2F914,MDP,Top,2,Free,2014-09-24,September,2014,DNA,Muskegon_Lake,Fall,MDPE914,119
6,91619,148020128,MDPE2P914,MDP,Top,2,Particle,2014-09-24,September,2014,DNA,Muskegon_Lake,Fall,MDPE914,118
7,91620,160089222,MOTE1F914,MOT,Top,1,Free,2014-09-24,September,2014,DNA,Muskegon_Lake,Fall,MOTE914,119
8,91621,130584138,MOTE1P914,MOT,Top,1,Particle,2014-09-24,September,2014,DNA,Muskegon_Lake,Fall,MOTE914,118
9,91622,166145802,MDPE1F715,MDP,Top,1,Free,2015-07-21,July,2015,DNA,Muskegon_Lake,Summer,MDPE715,119
10,91623,132887544,MDPE1P715,MDP,Top,1,Particle,2015-07-21,July,2015,DNA,Muskegon_Lake,Summer,MDPE715,117
11,91624,174858802,MOTE1F715,MOT,Top,1,Free,2015-07-21,July,2015,DNA,Muskegon_Lake,Summer,MOTE715,119
12,91625,180263130,MOTE1P715,MOT,Top,1,Particle,2015-07-21,July,2015,DNA,Muskegon_Lake,Summer,MOTE715,117
13,91626,121383464,MDPE1F915,MDP,Top,1,Free,2015-09-30,September,2015,DNA,Muskegon_Lake,Fall,MDPE915,118
14,91627,155844770,MDPE1P915,MDP,Top,1,Particle,2015-09-30,September,2015,DNA,Muskegon_Lake,Fall,MDPE915,118
15,91628,154357124,MOTE1F915,MOT,Top,1,Free,2015-09-30,September,2015,DNA,Muskegon_Lake,Fall,MOTE915,119
16,91629,152889534,MOTE1P915,MOT,Top,1,Particle,2015-09-30,September,2015,DNA,Muskegon_Lake,Fall,MOTE915,118
